Order Number,Package,Name,Execution_Type,Priority,Status,Type,Created By,Created At,Last Updated At,Objective,Description,Notes,Pre Condition,Post Condition,Step Number,Step Description,Step Expected Result,Test_Script_Entry,Test_Script_Expected_Result
"","","","","","","","","","","","","","","",2,"redo the operation","the textfield must have been cleared","",""
175,"IvyBridge|Q2_13|B0-gnome|30-control_center","01-daemon","Auto","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Health test","Check if daemon is running","","","",1,"-","-","check_gnome_app.sh gnome-settings",0
176,"IvyBridge|Q2_13|B0-gnome|30-control_center","02-gui","Auto","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Health test","Start application and check if a window appears","","","",1,"-","-","launch_gnome_app.sh -c 'Gnome-control-center' -t 15 -- /usr/bin/gnome-control-center",0
177,"IvyBridge|Q2_13|B0-gnome|30-control_center","03-health","Manual","P4","Designed","Functional positive","qavannes","1970-01-01","1970-01-01","Setting panel panel opens well","Setting panel must be accessible and should display all the other panels that enable to set up the system.","","","",1,"From the desktop, click on the username in gnome status bar","A submenu should appear","",0
"","","","","","","","","","","","","","","",2,"Select Settings","A window which display all the settings panel must open","",""
178,"IvyBridge|Q2_13|B0-gnome|30-control_center","04-health-components","Manual","P4","Designed","Functional positive","qavannes","1970-01-01","1970-01-01","Each panel and each tabs' panel of gnome conrol center is launchable","Open the setting panel, then iterate on icons, and open each tab. All panels must be accessible and their tabs too.","","","",1,"From the desktop, click on the username in gnome status bar","A submenu should appear","",0
"","","","","","","","","","","","","","","",2,"Select Settings","A window which display all the settings panel must open","",""
"","","","","","","","","","","","","","","",3,"For each panel, click on the icon and select successively the different tabs (if there's tabs)","content of the window must change with and must be consistent with the opened panel/tab","",""
179,"IvyBridge|Q2_13|B0-gnome|30-control_center","05-locale-format","Manual","P4","Designed","Functional positive","qavannes","1970-01-01","1970-01-01","select a locale format","in settings panel select locale format sub-panel and then select a locale format. Check that it applies","Bugs: TZPC-880","","",1,"-","-","",0
180,"IvyBridge|Q2_13|B0-gnome|30-control_center|10-users","01-login","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Log to the system as a user","Check that you can log in to the system as a user.","[Req. 1.1.1]","","",1,"Wait that the system starts to idle","default switch on screen appears","",0
"","","","","","","","","","","","","","","",2,"press enter to wake up the system","a set of users appears on the screen","",""
"","","","","","","","","","","","","","","",3,"select the user and fill form with password","login success and fall on the user session","",""
181,"IvyBridge|Q2_13|B0-gnome|30-control_center|10-users","02-add-user","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Add a user to the system","Check that a new user can be added on the system.","[Req. 1.1.2] window crashes - Bugs: TZPC-733","","",1,"From active session, click on the username on top right of the screen and select Settings","the setting window appears","",0
"","","","","","","","","","","","","","","",2,"Click on ""Users"" in system part","the window switch to the users settings","",""
"","","","","","","","","","","","","","","",3,"Click the Unlock icon (top right)","a window requiring an authentification by password is displayed","",""
"","","","","","","","","","","","","","","",4,"Fill with administrator password to enable changes","the user setting dialog is unlocked","",""
"","","","","","","","","","","","","","","",5,"Click on ""+"" (bottom left) to add a new user","a dialog window is displayed","",""
"","","","","","","","","","","","","","","",6,"Fill the dialog form (Account type: Standard, Full name = Tizen Test, Username = automatically filled based on full name) and click  ""create""","The new user is created and appears in the user list","",""
182,"IvyBridge|Q2_13|B0-gnome|30-control_center|10-users","03-switch-user","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Switch user on the system","Check that you can switch user from an active session.","[Req. 1.1.3]","","",1,"From an active session, click on the username on top right of the screen","A menu appears","",0
"","","","","","","","","","","","","","","",2,"Click on Switch User","a screen offering choice between users appears","",""
"","","","","","","","","","","","","","","",3,"Choose root account an enter its password","root session must be loaded.","",""
183,"IvyBridge|Q2_13|B0-gnome|30-control_center|10-users","04-remove-user","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Remove user from the system","Remove a user to the system.","[Req. 1.1.4]","","",1,"From active session, click on the username on top right of the screen and select Settings","the setting window appears","",0
"","","","","","","","","","","","","","","",2,"Click on ""Users"" in system part","the window switch to the users settings","",""
"","","","","","","","","","","","","","","",3,"Click the Unlock icon (top right)","a window requiring an authentification by password is displayed","",""
"","","","","","","","","","","","","","","",4,"Fill with administrator password to enable changes","the user setting dialog is unlocked","",""
"","","","","","","","","","","","","","","",5,"From the list, select the user account to delete and click ""-"" (bottom left)","A dialog appears","",""
"","","","","","","","","","","","","","","",6,"In the dialog click ""delete all files""","The account is deleted and disappears of the list","",""
184,"IvyBridge|Q2_13|B0-gnome|30-control_center|30-date-time","01-set-time-zone","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Set time zone","Check that the time zone can be changed.","[Req. 1.3.1]","","",1,"From an active session, click on the time at the top of the desktop shell","a window appears that displays a calendar","",0
"","","","","","","","","","","","","","","",2,"In the window clik on ""Date and Time Settings""","the ""Date and Time Settings"" dialog appears","",""
"","","","","","","","","","","","","","","",3,"Click on the unlock icon","A window requiring an authentification by password is displayed","",""
"","","","","","","","","","","","","","","",4,"Fill with the administrator password","the ""Date and Time Settings"" dialog is unlocked","",""
"","","","","","","","","","","","","","","",5,"Select an other region and an other city","the change must update the clock at the top of the desktop shell, any desktop widgets which display time, any other calendar applications.","",""
185,"IvyBridge|Q2_13|B0-gnome|30-control_center|30-date-time","03-set-time-manual","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Set time manually","""Check if it is possible to change the time manually.","[Req. 1.3.3]","","",1,"From an active session, click on the time at the top of the desktop shell","a window appears that displays a calendar","",0
"","","","","","","","","","","","","","","",2,"In the window clik on ""Date and Time Settings""","the ""Date and Time Settings"" dialog appears","",""
"","","","","","","","","","","","","","","",3,"Click on the unlock icon","A window requiring an authentification by password is displayed","",""
"","","","","","","","","","","","","","","",4,"Fill with the administrator password","the ""Date and Time Settings"" dialog is unlocked","",""
"","","","","","","","","","","","","","","",5,"Set up the time and date manually using the interface","Changes are reflected on the clock on the  top of the desktop","",""
186,"IvyBridge|Q2_13|B0-gnome|30-control_center|30-date-time","04-set-time-internet","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Set time via internet","Check if it is possible to set the internet time.","[Req. 1.3.4] nothing happens - Bugs: TZPC-736","","",1,"From an active session, click on the time at the top of the desktop shell","a window appears that displays a calendar","",0
"","","","","","","","","","","","","","","",2,"In the window clik on ""Date and Time Settings""","the ""Date and Time Settings"" dialog appears","",""
"","","","","","","","","","","","","","","",3,"Click on the unlock icon","A window requiring an authentification by password is displayed","",""
"","","","","","","","","","","","","","","",4,"Fill with the administrator password","the ""Date and Time Settings"" dialog is unlocked","",""
"","","","","","","","","","","","","","","",5,"Set manually a wrong hour (5mn in past or futur)","the hour is displayed on title bar","",""
"","","","","","","","","","","","","","","",6,"Select ""Network Time""","dialogs to change the hour must be grayed","",""
"","","","","","","","","","","","","","","",7,"After a while","check that the hour has become correct","",""
187,"IvyBridge|Q2_13|B0-gnome|30-control_center|40-printers","01-add_local_system_printer","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Add local system printer","Check if it's possible to add a new local system printer","[Req. 1.4.1]","","",1,"-","-","",0
188,"IvyBridge|Q2_13|B0-gnome|30-control_center|40-printers","02-remove_local_system_printer","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Remove system printer","Check if it's possible to remove a new local system printer","[Req. 1.4.2]","","",1,"-","-","",0
189,"IvyBridge|Q2_13|B0-gnome|30-control_center|40-printers","03-add_networked_printer","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Add networked printer","Check if it's possible to add a new local system printer via network","[Req. 1.4.3]","","",1,"-","-","",0
190,"IvyBridge|Q2_13|B0-gnome|30-control_center|50-sound","01-volume_up_down_mute","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Volume up, Volume down, Mute","Check if it's possible to set the volume up, set the volume down or mute the volume.","[Req. 1.5.1] no sound when increase/decrease - Bugs: TZPC-737","","",1,"Press the ""volume up"" button of the laptop","an event with the volume status increasing appears on the screen.","",0
"","","","","","","","","","","","","","","",2,"Press the ""volume down"" button of the laptop","an event with the volume status decreasing appears on the screen.","",""
"","","","","","","","","","","","","","","",3,"Press the ""mute"" button of the laptop","an event with the volume status muted appears on the screen","",""
"","","","","","","","","","","","","","","",4,"For al previous steps","an event must appears according to the action which is performed with a coherent sound","",""
191,"IvyBridge|Q2_13|B0-gnome|30-control_center|50-sound","02-volume_up_down_mute_short","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Volume up, Volume down, Mute using gnome","Check if it's possible to set the volume up, set the volume down or mute the volume using the gnome bar.","[Req. 1.5.2] no sound when increase/decrease - Bugs: TZPC-737","","",1,"Click on the volume icon on the gnome desktop","a setting window appears","",0
"","","","","","","","","","","","","","","",2,"Manually increase/decrease the volume","volume increase/decrease and when can hear the difference","",""
192,"IvyBridge|Q2_13|B0-gnome|30-control_center|50-sound","03-icon-visible","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The icon for sound setting is visible","Open the panel settings and check that the icon for the sound settings is visible","","","",1,"-","-","",0
193,"IvyBridge|Q2_13|B0-gnome|30-control_center|50-sound","04-panel-displayed","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The panel for sound setting is displayed","Open the panel settings and then the sound setting panel. 
Check that the panel opens.","","","",1,"-","-","",0
194,"IvyBridge|Q2_13|B0-gnome|30-control_center|50-sound","05-panel-main","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The panel for sound setting has main function working","Open the sound setting panel. 
Check that on/off and volume settings works well.","","","",1,"-","-","",0
195,"IvyBridge|Q2_13|B0-gnome|30-control_center|50-sound","06-panel-tab-output","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The panel for sound setting of output is functionnal","Open the sound setting panel on tab ""output"". 
Check that tab's functionnalities works well.
Check that ""test speakers"" works.","","","",1,"-","-","",0
196,"IvyBridge|Q2_13|B0-gnome|30-control_center|50-sound","07-panel-tab-input","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The panel for sound setting of input is functionnal","Open the sound setting panel on tab ""input"". 
Check that tab's functionnalities works well.","","","",1,"-","-","",0
197,"IvyBridge|Q2_13|B0-gnome|30-control_center|50-sound","08-panel-tab-sound-effects","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The panel for sound setting of sound effects is functionnal","Open the sound setting panel on tab ""sound effects"". 
Check that tab's functionnalities works well.","","","",1,"-","-","",0
198,"IvyBridge|Q2_13|B0-gnome|30-control_center|50-sound","09-panel-tab-applications","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The panel for sound setting of applications is functionnal","Open the sound setting panel on tab ""applications"". 
Check that tab's functionnalities works well.","","","",1,"-","-","",0
199,"IvyBridge|Q2_13|B0-gnome|30-control_center|70-region-language","01-set-display-language","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Set display language","Check that the display language can be set.","[Req. 1.7.1] - Bugs: TZPC-748","","",1,"From an active session, click on the username","the gnome menu is displayed","",0
"","","","","","","","","","","","","","","",2,"Within the menu, select ""Settings""","the setting window appears","",""
"","","","","","","","","","","","","","","",3,"Click on the ""Region & Language""","the region and language panel opens","",""
"","","","","","","","","","","","","","","",4,"Click on the ""language"" item","a list of languages appears","",""
"","","","","","","","","","","","","","","",5,"Click on some language different that the current one","the language is selected","",""
"","","","","","","","","","","","","","","",6,"Click on ""done""","a dialog appears telling that session should be restarted","",""
"","","","","","","","","","","","","","","",7,"Click on ""Restart Now"" to apply","a dialog ask to ""cancel"" or ""log out""","",""
"","","","","","","","","","","","","","","",8,"Click on ""log out""","the screen blackout and the logging screen appears","",""
"","","","","","","","","","","","","","","",9,"Log in with the modified account","you enter your session","",""
"","","","","","","","","","","","","","","",10,"Click  on the username (top right)","the gnome menu appears with items in the selected language","",""
"","","","","","","","","","","","","","","",11,"Click on the equivalent of ""settings""","the settings panel appears with icon's names in the selected language","",""
200,"IvyBridge|Q2_13|B0-gnome|30-control_center|70-region-language","02-set-formatting","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Set formatting","Check if it's possible to set the region formatting.","[Req. 1.7.2]","","",1,"From an active session, click on the username","the gnome menu is displayed","",0
"","","","","","","","","","","","","","","",2,"Within the menu, select ""Settings""","the setting window appears","",""
"","","","","","","","","","","","","","","",3,"Click on the ""Region & Language""","the region and language panel opens","",""
"","","","","","","","","","","","","","","",4,"Click on the ""Formats"" item","a list of languages appears","",""
"","","","","","","","","","","","","","","",5,"Click on some language different that the current one","the language is selected","",""
"","","","","","","","","","","","","","","",6,"Click on ""done""","a dialog appears telling that session should be restarted","",""
"","","","","","","","","","","","","","","",7,"Click on ""Restart Now"" to apply","a dialog ask to ""cancel"" or ""log out""","",""
"","","","","","","","","","","","","","","",8,"Click on ""log out""","the screen blackout and the logging screen appears","",""
"","","","","","","","","","","","","","","",9,"Log in with the modified account","you enter your session","",""
"","","","","","","","","","","","","","","",10,"Click on the time in the top bar","The entered formatting must apply to the displayed date and time","",""
201,"IvyBridge|Q2_13|B0-gnome|30-control_center|70-region-language","03-set-keyboard","Manual","P0","Ready","Functional positive","jb","2013-03-05","2013-03-08","Set keyboard layout","Check that keyboard layout can be set.","[Req. 1.7.3]","","",1,"From an active session, click on the username","the gnome menu is displayed","",0
"","","","","","","","","","","","","","","",2,"Within the menu, select ""Settings""","the setting window appears","",""
"","","","","","","","","","","","","","","",3,"Click on the ""Region & Language""","the region and language panel opens","",""
"","","","","","","","","","","","","","","",4,"Click on the ""+"" of keyboard list","a list of languages appears","",""
"","","","","","","","","","","","","","","",5,"Click on some language different than the current one","a sub list of keyboard variant appears","",""
"","","","","","","","","","","","","","","",6,"Select a variant and click ""Add""","the new keyboard config is added to the list, the current keyboard language is displayed in the top bar","",""
"","","","","","","","","","","","","","","",7,"From the top bar, select the language","a dialog appears with the several keyboard languages","",""
"","","","","","","","","","","","","","","",8,"Select the new language for keyboard","the top bar language is updated","",""
"","","","","","","","","","","","","","","",9,"Open a terminal and type a text","the letters printed follow the selected keyboard map","",""
202,"IvyBridge|Q2_13|B0-gnome|30-control_center|70-region-language","04-show-keyboard-layout","Manual","P0","Ready","Functional positive","jb","2013-03-08","2013-03-08","show keyboard layout","Check that keyboard layout can be shown.","[Req. 1.7.3]","","",1,"From an active session, click on the username","the gnome menu is displayed","",0
"","","","","","","","","","","","","","","",2,"Within the menu, select ""Settings""","the setting window appears","",""
"","","","","","","","","","","","","","","",3,"Click on the ""Region & Language""","the region and language panel opens","",""
"","","","","","","","","","","","","","","",4,"Select a keyboard from the keybord list","the keyboard is selected and the show layout icon is ungrayed","",""
"","","","","","","","","","","","","","","",5,"Click the show layout icon","The keyboard layout is shown","",""
203,"IvyBridge|Q2_13|B0-gnome|30-control_center|80-display","01-enable-disable-indep","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Enable and disable monitors independently.","Check if it is possible to enable and disable monitors independently.","[Req. 1.8.1]","","",1,"From an active session plug an external VGA display to the VGA port of the netbook","After a short blackout both screens are actives","",0
"","","","","","","","","","","","","","","",2,"Click on the username of top bar","The gnome menu is displayed","",""
"","","","","","","","","","","","","","","",3,"Within the menu, select ""Settings""","The settings panel appears","",""
"","","","","","","","","","","","","","","",4,"Click on ""Displays""","the ""displays settings"" panel appears","",""
"","","","","","","","","","","","","","","",5,"Select the laptop screen, swith the status button to off and click ""Apply""","the laptop screen should become black and the desktop should be visible only on your external screen","",""
"","","","","","","","","","","","","","","",6,"Back to the previous configuration and select your external screen, switch the status to off and click ""Apply""","your external screen should become black and the desktop should be visible only on the laptop screen","",""
204,"IvyBridge|Q2_13|B0-gnome|30-control_center|80-display","02-show-same-on-all","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Clone displays","Check if mirroring works.","[Req. 1.8.2]","","",1,"From an active session plug an external VGA display to the VGA port of the netbook","After a short blackout both screens are actives","",0
"","","","","","","","","","","","","","","",2,"Click on the username of top bar","The gnome menu is displayed","",""
"","","","","","","","","","","","","","","",3,"Within the menu, select ""Settings""","The settings panel appears","",""
"","","","","","","","","","","","","","","",4,"Click on ""Displays""","the ""displays settings"" panel appears","",""
"","","","","","","","","","","","","","","",5,"Check the box ""Miror displays"" and click ""Apply""","The two displays should show the same thing, the pointer move equally on both screens","",""
205,"IvyBridge|Q2_13|B0-gnome|30-control_center|80-display","03-set-any-display-res","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Display resolution","Check that any display resolution (from its native resolutions) can be set.","[Req. 1.8.3]","","",1,"From an active session, click on the username of top bar","The gnome menu is displayed","",0
"","","","","","","","","","","","","","","",2,"Within the menu, select ""Settings""","The settings panel appears","",""
"","","","","","","","","","","","","","","",3,"Click on ""Displays""","the ""displays settings"" panel appears","",""
"","","","","","","","","","","","","","","",4,"Select a screen resolution and click ""Apply""","the resolution of the laptop screen should change according to the selected one","",""
"","","","","","","","","","","","","","","",5,"Repeat the previous step for all available resolutions","All the resolutions are correctly displayed","",""
206,"IvyBridge|Q2_13|B0-gnome|30-control_center|80-display","04-set-any-display-rot","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Display rotation","""Check that any display rotation can be set.  1 - From an active session, go on the gnome shell status menu and click on """"System Settings"""". 2 - In the """"Displays"""" panel change the rotation and apply the change. Repeat the process with all available rotation. Pass criteria : the system displays well with all the available rotations.""","[Req. 1.8.4]","","",1,"From an active session, click on the username of top bar","The gnome menu is displayed","",0
"","","","","","","","","","","","","","","",2,"Within the menu, select ""Settings""","The settings panel appears","",""
"","","","","","","","","","","","","","","",3,"Click on ""Displays""","the ""displays settings"" panel appears","",""
"","","","","","","","","","","","","","","",4,"Select a screen rotation and click ""Apply""","the rotation of the laptop screen should change according to the selected one","",""
"","","","","","","","","","","","","","","",5,"Repeat the previous step for all available rotation","All the rotations are correctly displayed","",""
207,"IvyBridge|Q2_13|B0-gnome|30-control_center|80-display","05-set-relative-positioning","Manual","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Relative display position","Set relative positioning of displays (to match physical layout)","[Req. 1.8.5]","","",1,"From an active session plug an external VGA display to the VGA port of the netbook","After a short blackout both screens are actives","",0
"","","","","","","","","","","","","","","",2,"Click on the username of top bar","The gnome menu is displayed","",""
"","","","","","","","","","","","","","","",3,"Within the menu, select ""Settings""","The settings panel appears","",""
"","","","","","","","","","","","","","","",4,"Click on ""Displays""","the ""displays settings"" panel appears","",""
"","","","","","","","","","","","","","","",5,"Click the laptop screen icon, drag it on the opposite side and click ""Apply""","the pointer should move from one screen to the other according to the set position","",""
208,"IvyBridge|Q2_13|B0-gnome|30-control_center|90-privacy","01-unlock-screen","Manual","P4","Designed","Functional positive","jb","2013-03-08","2013-03-08","user can disable the screen locking","disable the screen locking","","","",1,"Click on user menu of the top menubar","the user session menu appears","",0
"","","","","","","","","","","","","","","",2,"Select ""Settings""","the setting window appears","",""
"","","","","","","","","","","","","","","",3,"Click on ""privacy"" icon","the privacy setting window appears","",""
"","","","","","","","","","","","","","","",4,"Click on ""Screen lock"" button","the screen lock setting dialog window popup","",""
"","","","","","","","","","","","","","","",5,"Toggle ""Automatic screen lock"" to OFF and close the window","The popup dialog disappears the ""screen lock"" button shows ""Off""","",""
"","","","","","","","","","","","","","","",6,"Return to the settings windows (""<"" top left)","the setting window appears","",""
"","","","","","","","","","","","","","","",7,"Click on ""Power"" icon","the power setting window appears","",""
"","","","","","","","","","","","","","","",8,"Select ""1 minute"" to the ""Blank screen"" option","Blank screen is now set to 1 minute","",""
"","","","","","","","","","","","","","","",9,"Wait one minute","The screen is blanked","",""
"","","","","","","","","","","","","","","",10,"Move the mouse","A neutral screen showing date and hour is displayed","",""
"","","","","","","","","","","","","","","",11,"Press ""Enter""","The previous session is displayed without login password","",""
209,"IvyBridge|Q2_13|B0-gnome|30-control_center|90-privacy","02-lock-screen","Manual","P4","Designed","Functional positive","jb","2013-03-08","2013-03-08","user can enable the screen locking","enable the screen locking","","","",1,"Click on user menu of the top menubar","the user session menu appears","",0
"","","","","","","","","","","","","","","",2,"Select ""Settings""","the setting window appears","",""
"","","","","","","","","","","","","","","",3,"Click on ""privacy"" icon","the privacy setting window appears","",""
"","","","","","","","","","","","","","","",4,"Click on ""Screen lock"" button","the screen lock setting dialog window popup","",""
"","","","","","","","","","","","","","","",5,"Toggle ""Automatic screen lock"" to ON","The automatic screen lock is toggled ON","",""
"","","","","","","","","","","","","","","",6,"Select for ""Lock screen after blank for"" a duration of ""Screen Turns Off""","""Lock screen after blank for"" is set to ""Screen Turns Off""","",""
"","","","","","","","","","","","","","","",7,"Close the window","The popup dialog disappears the ""screen lock"" button shows ""On""","",""
"","","","","","","","","","","","","","","",8,"Return to the settings windows (""<"" top left)","the setting window appears","",""
"","","","","","","","","","","","","","","",9,"Click on ""Power"" icon","the power setting window appears","",""
"","","","","","","","","","","","","","","",10,"Select ""1 minute"" to the ""Blank screen"" option","Blank screen is now set to 1 minute","",""
"","","","","","","","","","","","","","","",11,"Wait one minute","The screen is blanked","",""
"","","","","","","","","","","","","","","",12,"Move the mouse","A neutral screen showing date and hour is displayed","",""
"","","","","","","","","","","","","","","",13,"Press ""Enter""","The login screen for the current session is shown","",""
"","","","","","","","","","","","","","","",14,"Enter the session password and validate","The previous session is resumed","",""
210,"IvyBridge|Q2_13|B0-gnome|30-control_center|A0-background","01-icon-visible","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The icon for background setting is visible","Open the panel settings and check that the icon for the background settings is visible","","","",1,"-","-","",0
211,"IvyBridge|Q2_13|B0-gnome|30-control_center|A0-background","02-panel-displayed","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The panel for background setting is displayed","Open the panel settings and then the background setting panel. 
Check that the panel opens.","","","",1,"-","-","",0
212,"IvyBridge|Q2_13|B0-gnome|30-control_center|A0-background","03-panel-works","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The panel for background setting is working","Open the sound setting panel. 
Check that background settings works well.","","","",1,"-","-","",0
213,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","01-icon-visible","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The icon for power setting is visible","Open the panel settings and check that the icon for the power settings is visible","","","",1,"-","-","",0
214,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","02-panel-displays","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The panel for power setting is displayed","Open the panel settings and then the power setting panel. Check that the panel opens.","","","",1,"-","-","",0
215,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","03-brightness","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The brightness is controlable within power setting panel","Open the power setting panel. 
Check that it controls brightness.","","","",1,"-","-","",0
216,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","04-blank-screen","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The idle period before blanking the screen is managed","Open the power setting panel. 
Check that it controls the idle period after what the screen is blanked.","","","",1,"-","-","",0
217,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","05-automatic-suspend","Manual","P4","Designed","Functional positive","jb","2013-03-11","2013-03-11","The idle period before automatic suspend is managed","Open the power setting panel. 
Check that it controls the idle period before automatic suspend.","","","",1,"-","-","",0
218,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","06-battery-icon-displayed","Manual","P4","Designed","Functional positive","jb","2013-03-12","2013-03-12","check presence of the top menubar battery icon","plug/unplug the battery and check that battery icon appears/disappears","","","",1,"-","-","",0
219,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","07-battery-icon-displays-flash","Manual","P4","Designed","Functional positive","jb","2013-03-12","2013-03-12","check that top menubar battery icon displays plug's flash","plug in and plug off to power supply and check the flash symbol appears/disappears near the battery icon","","","",1,"-","-","",0
220,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","08-battery-icon-reflect-charge","Manual","P4","Designed","Functional positive","jb","2013-03-12","2013-03-12","check that top menubar battery icon displays charge level","Check that charge level of the battery is displayed and change reflecting some reality
Check that a click on the icon displays the charge in percent","","","",1,"-","-","",0
221,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","09-battery-automatic-suspend","Manual","P4","Designed","Functional positive","jb","2013-03-12","2013-03-12","check that automatic suspend includes battery case","Check that the ""Automatic suspend"" option of the ""power settings"" panel include an ""On battery power"" case. The case is taken in account by the system.","","","",1,"-","-","",0
222,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","0A-dim-screen","Manual","P4","Designed","Functional positive","jb","2013-03-12","2013-03-12","check that screen is dimmed","Check that the ""Dim Screen when Inactive"" option works correctly.","Bugs: TZPC-1214","","",1,"-","-","",0
223,"IvyBridge|Q2_13|B0-gnome|30-control_center|B0-power","0B-notify-low-level","Manual","P4","Designed","Functional positive","jb","2013-03-12","2013-03-12","Check that low battery level are notified","Check that low battery level are notified","","","",1,"-","-","",0
224,"IvyBridge|Q2_13|B0-gnome|40-connman","01-iconic-visibility","Manual","P4","Designed","Functional positive","jb","2013-03-06","2013-03-06","Connman icon is visible in the gnome status bar","The connman status icon should be visible in the top bar","","","",1,"From the desktop, check the top bar","The connman status icon is visible","",0
225,"IvyBridge|Q2_13|B0-gnome|40-connman","02-menu-conforms","Manual","P4","Designed","Functional positive","jb","2013-03-06","2013-03-06","The connman menu displays","The connman quick functionality menu should be shown when clicking the connman status icon of the top bar.","","","",1,"From the desktop, click on the connman status icon","The connman menu appears","",0
"","","","","","","","","","","","","","","",2,"Check the menu airplane switch (top)","the menus shows switch for available devices (Wired, Wifi, Bluetooth, 3G, ...)","",""
"","","","","","","","","","","","","","","",3,"Check the menu devices (middle)","the menus shows switch for available devices (Wired, Wifi, Bluetooth, 3G, ...)","",""
"","","","","","","","","","","","","","","",4,"Check the menu status (bottom)","the available networks (if any) are displayed with their status","",""
226,"IvyBridge|Q2_13|B0-gnome|40-connman","03-wifi-scan","Manual","P4","Designed","Functional positive","jb","2013-03-06","2013-03-06","connman scans the available networks","in the connman panel, activate wifi and check that hotspots are discovered and displayed","","","",1,"From the desktop, click on the connman status icon","The connman menu appears","",0
"","","","","","","","","","","","","","","",2,"(if needed) activate the wifi","the wifi is activated","",""
"","","","","","","","","","","","","","","",3,"Check that wifi networks are detected","the available wifi networks are displayed","",""
227,"IvyBridge|Q2_13|B0-gnome|40-connman","04-connect","Manual","P4","Designed","Functional positive","jb","2013-03-06","2013-03-06","connman can connect to a network","in connman panel, select a network, check that it connects well","","","",1,"From the desktop, click on the connman status icon","The connman menu appears","",0
"","","","","","","","","","","","","","","",2,"Ask to connect to an available network","The connection occurs","",""
228,"IvyBridge|Q2_13|B0-gnome|40-connman","05-disconnect","Manual","P4","Designed","Functional positive","jb","2013-03-06","2013-03-06","connman can disconnect from a network","in connman panel, select a network, check that it disconnects well","","","",1,"From the desktop, click on the connman status icon","The connman menu appears","",0
"","","","","","","","","","","","","","","",2,"Ask to connect from a connected network","The disconnection occurs","",""
229,"IvyBridge|Q2_13|B0-gnome|90-applications|10-dbus","01-health","Auto","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Health test","Check if dbus-daemon is started for current user","","","",1,"-","-","check_gnome_app.sh dbus-daemon",0
230,"IvyBridge|Q2_13|B0-gnome|90-applications|20-dconf","01-health","Auto","P0","Ready","Functional positive","qavannes","1970-01-01","1970-01-01","Health test","Check if dconf-service is started for current user","","","",1,"-","-","check_gnome_app.sh dconf-service",0
